#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.121299E-04   0.203672E+08   0.203672E+08   0.271345E+08   0.271344E+08   0.000000E+00   0.203672E+08   0.203672E+08   0.203756E+08  -0.458052E+00   0.993895E+07   0.993895E+07   0.747047E-02
   0.148154E-04   0.203672E+08   0.203672E+08   0.271237E+08   0.271237E+08   0.000000E+00   0.203672E+08   0.203672E+08   0.203756E+08  -0.458051E+00   0.993894E+07   0.993894E+07   0.912427E-02
   0.180956E-04   0.203671E+08   0.203671E+08   0.271077E+08   0.271077E+08   0.000000E+00   0.203671E+08   0.203671E+08   0.203756E+08  -0.458050E+00   0.993892E+07   0.993892E+07   0.111441E-01
   0.221020E-04   0.203671E+08   0.203671E+08   0.270839E+08   0.270838E+08   0.000000E+00   0.203671E+08   0.203671E+08   0.203755E+08  -0.458049E+00   0.993890E+07   0.993890E+07   0.136109E-01
   0.269955E-04   0.203670E+08   0.203670E+08   0.270483E+08   0.270481E+08   0.000000E+00   0.203670E+08   0.203670E+08   0.203754E+08  -0.458047E+00   0.993886E+07   0.993886E+07   0.166233E-01
   0.329724E-04   0.203669E+08   0.203669E+08   0.269953E+08   0.269951E+08   0.000000E+00   0.203669E+08   0.203669E+08   0.203753E+08  -0.458044E+00   0.993881E+07   0.993881E+07   0.203018E-01
   0.402725E-04   0.203667E+08   0.203667E+08   0.269165E+08   0.269161E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203751E+08  -0.458039E+00   0.993873E+07   0.993873E+07   0.247932E-01
   0.491890E-04   0.203665E+08   0.203665E+08   0.267992E+08   0.267987E+08   0.000000E+00   0.203665E+08   0.203665E+08   0.203748E+08  -0.458032E+00   0.993861E+07   0.993861E+07   0.302762E-01
   0.600796E-04   0.203662E+08   0.203662E+08   0.266251E+08   0.266243E+08   0.000000E+00   0.203662E+08   0.203662E+08   0.203744E+08  -0.458022E+00   0.993844E+07   0.993844E+07   0.369679E-01
   0.733814E-04   0.203656E+08   0.203656E+08   0.263673E+08   0.263662E+08   0.000000E+00   0.203656E+08   0.203656E+08   0.203738E+08  -0.458007E+00   0.993817E+07   0.993817E+07   0.451317E-01
   0.896282E-04   0.203648E+08   0.203648E+08   0.259870E+08   0.259853E+08   0.000000E+00   0.203648E+08   0.203648E+08   0.203729E+08  -0.457984E+00   0.993778E+07   0.993778E+07   0.550860E-01
   0.109472E-03   0.203636E+08   0.203636E+08   0.254288E+08   0.254263E+08   0.000000E+00   0.203636E+08   0.203636E+08   0.203716E+08  -0.457950E+00   0.993719E+07   0.993719E+07   0.672133E-01
   0.133710E-03   0.203619E+08   0.203619E+08   0.246164E+08   0.246127E+08   0.000000E+00   0.203619E+08   0.203619E+08   0.203696E+08  -0.457900E+00   0.993632E+07   0.993632E+07   0.819702E-01
   0.163313E-03   0.203593E+08   0.203593E+08   0.234484E+08   0.234430E+08   0.000000E+00   0.203593E+08   0.203593E+08   0.203666E+08  -0.457825E+00   0.993503E+07   0.993503E+07   0.998950E-01
   0.199471E-03   0.203554E+08   0.203554E+08   0.217995E+08   0.217919E+08   0.000000E+00   0.203554E+08   0.203554E+08   0.203622E+08  -0.457716E+00   0.993312E+07   0.993312E+07   0.121612E+00
